frame,video_time_sec,segment_id,segment_description,ground_truth,prediction,correct,primary_track_present,raw_activity,smoothed_activity,semantic_activity
351,31.818182,3,Walking,walking,walking,1,1,walking,walking,walking
352,31.909091,3,Walking,walking,walking,1,1,walking,walking,walking
353,32.000000,3,Walking,walking,walking,1,1,walking,walking,walking
354,32.090909,3,Walking,walking,walking,1,1,walking,walking,walking
355,32.181818,3,Walking,walking,walking,1,1,walking,walking,walking
356,32.272727,3,Walking,walking,walking,1,1,standing,walking,walking
357,32.363636,3,Walking,walking,walking,1,1,standing,walking,walking
358,32.454545,3,Walking,walking,walking,1,1,standing,walking,walking
359,32.545455,3,Walking,walking,walking,1,1,standing,walking,walking
360,32.636364,3,Walking,walking,standing,0,1,standing,standing,standing
361,32.727273,3,Walking,walking,standing,0,1,standing,standing,standing
362,32.818182,3,Walking,walking,standing,0,1,standing,standing,standing
363,32.909091,3,Walking,walking,standing,0,1,walking,standing,standing
364,33.000000,3,Walking,walking,standing,0,1,walking,standing,standing
365,33.090909,3,Walking,walking,standing,0,1,walking,standing,standing
366,33.181818,3,Walking,walking,standing,0,1,walking,standing,standing
367,33.272727,3,Walking,walking,walking,1,1,walking,walking,walking
368,33.363636,3,Walking,walking,walking,1,1,walking,walking,walking
369,33.454545,3,Walking,walking,walking,1,1,walking,walking,walking
370,33.545455,3,Walking,walking,walking,1,1,walking,walking,walking
371,33.636364,3,Walking,walking,walking,1,1,walking,walking,walking
372,33.727273,3,Walking,walking,walking,1,1,walking,walking,walking
373,33.818182,3,Walking,walking,walking,1,1,walking,walking,walking
374,33.909091,3,Walking,walking,walking,1,1,walking,walking,walking
375,34.000000,3,Walking,walking,walking,1,1,walking,walking,walking
376,34.090909,3,Walking,walking,walking,1,1,walking,walking,walking
377,34.181818,3,Walking,walking,walking,1,1,walking,walking,walking
378,34.272727,3,Walking,walking,walking,1,1,walking,walking,walking
379,34.363636,3,Walking,walking,walking,1,1,walking,walking,walking
380,34.454545,3,Walking,walking,walking,1,1,walking,walking,walking
381,34.545455,3,Walking,walking,walking,1,1,walking,walking,walking
382,34.636364,3,Walking,walking,walking,1,1,walking,walking,walking
383,34.727273,3,Walking,walking,walking,1,1,walking,walking,walking
384,34.818182,3,Walking,walking,walking,1,1,walking,walking,walking
385,34.909091,3,Walking,walking,walking,1,1,walking,walking,walking
386,35.000000,3,Walking,walking,walking,1,1,walking,walking,walking
387,35.090909,3,Walking,walking,walking,1,1,walking,walking,walking
388,35.181818,3,Walking,walking,walking,1,1,walking,walking,walking
389,35.272727,3,Walking,walking,walking,1,1,walking,walking,walking
390,35.363636,3,Walking,walking,walking,1,1,walking,walking,walking
391,35.454545,3,Walking,walking,walking,1,1,walking,walking,walking
392,35.545455,3,Walking,walking,walking,1,1,walking,walking,walking
393,35.636364,3,Walking,walking,walking,1,1,walking,walking,walking
394,35.727273,3,Walking,walking,walking,1,1,walking,walking,walking
395,35.818182,3,Walking,walking,walking,1,1,carrying,walking,walking
396,35.909091,3,Walking,walking,walking,1,1,standing,walking,walking
397,36.000000,3,Walking,walking,walking,1,1,standing,walking,walking
398,36.090909,3,Walking,walking,walking,1,1,standing,walking,walking
